file_name,date,match_type,teams,venue,city,winner,gender,overs
1119498.json,2017-09-24,ODI,"Australia, India",Holkar Cricket Stadium,Indore,India,male,50
1031671.json,2017-09-24,ODI,"England, West Indies",County Ground,Bristol,England,male,50
1031673.json,2017-09-27,ODI,"West Indies, England",Kennington Oval,London,England,male,50
1119499.json,2017-09-28,ODI,"Australia, India",M.Chinnaswamy Stadium,Bengaluru,Australia,male,50
1031675.json,2017-09-29,ODI,"West Indies, England",The Rose Bowl,Southampton,England,male,50
1119500.json,2017-10-01,ODI,"Australia, India","Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,male,50
1120286.json,2017-10-13,ODI,"Pakistan, Sri Lanka",Dubai International Cricket Stadium,Unknown,Pakistan,male,50
1075504.json,2017-10-15,ODI,"Bangladesh, South Africa",Diamond Oval,Kimberley,South Africa,male,50
1120287.json,2017-10-16,ODI,"Pakistan, Sri Lanka",Sheikh Zayed Stadium,Abu Dhabi,Pakistan,male,50
1075505.json,2017-10-18,ODI,"South Africa, Bangladesh",Boland Park,Paarl,South Africa,male,50
1120288.json,2017-10-18,ODI,"Sri Lanka, Pakistan",Sheikh Zayed Stadium,Abu Dhabi,Pakistan,male,50
1120289.json,2017-10-20,ODI,"Sri Lanka, Pakistan",Sharjah Cricket Stadium,Unknown,Pakistan,male,50
1075506.json,2017-10-22,ODI,"South Africa, Bangladesh",Buffalo Park,East London,South Africa,male,50
1120090.json,2017-10-22,ODI,"India, New Zealand",Wankhede Stadium,Mumbai,New Zealand,male,50
1120290.json,2017-10-23,ODI,"Sri Lanka, Pakistan",Sharjah Cricket Stadium,Unknown,Pakistan,male,50
1120091.json,2017-10-25,ODI,"New Zealand, India",Maharashtra Cricket Association Stadium,Pune,India,male,50
1120092.json,2017-10-29,ODI,"India, New Zealand",Green Park,Kanpur,India,male,50
1124089.json,2017-12-06,ODI,"Hong Kong, Papua New Guinea",ICC Academy,Dubai,Hong Kong,male,50
1122726.json,2017-12-10,ODI,"India, Sri Lanka",Himachal Pradesh Cricket Association Stadium,Dharamsala,Sri Lanka,male,50
1122727.json,2017-12-13,ODI,"India, Sri Lanka","Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,India,male,50
1122728.json,2017-12-17,ODI,"Sri Lanka, India",Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,male,50
1115795.json,2017-12-20,ODI,"West Indies, New Zealand",Cobham Oval (New),Whangarei,New Zealand,male,50
1115796.json,2017-12-23,ODI,"New Zealand, West Indies",Hagley Oval,Christchurch,New Zealand,male,50
1115797.json,2017-12-26,ODI,"New Zealand, West Indies",Hagley Oval,Christchurch,New Zealand,male,50
1115802.json,2018-01-06,ODI,"New Zealand, Pakistan",Basin Reserve,Wellington,New Zealand,male,50
1115803.json,2018-01-09,ODI,"Pakistan, New Zealand",Saxton Oval,Nelson,New Zealand,male,50
1131274.json,2018-01-11,ODI,"United Arab Emirates, Ireland",ICC Academy,Dubai,Ireland,male,50
1131275.json,2018-01-13,ODI,"Ireland, United Arab Emirates",ICC Academy,Dubai,Ireland,male,50
1115804.json,2018-01-13,ODI,"New Zealand, Pakistan",University Oval,Dunedin,New Zealand,male,50
1072310.json,2018-01-14,ODI,"Australia, England",Melbourne Cricket Ground,Unknown,England,male,50
1130737.json,2018-01-15,ODI,"Zimbabwe, Bangladesh","Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,male,50
1131276.json,2018-01-16,ODI,"Scotland, Ireland",ICC Academy,Dubai,Ireland,male,50
1115805.json,2018-01-16,ODI,"Pakistan, New Zealand",Seddon Park,Hamilton,New Zealand,male,50
1130738.json,2018-01-17,ODI,"Zimbabwe, Sri Lanka","Shere Bangla National Stadium, Mirpur",Dhaka,Zimbabwe,male,50
1131277.json,2018-01-18,ODI,"Ireland, Scotland",ICC Academy,Dubai,Ireland,male,50
1115806.json,2018-01-19,ODI,"New Zealand, Pakistan",Basin Reserve,Wellington,New Zealand,male,50
1072311.json,2018-01-19,ODI,"Australia, England","Brisbane Cricket Ground, Woolloongabba",Brisbane,England,male,50
1130739.json,2018-01-19,ODI,"Bangladesh, Sri Lanka","Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,male,50
1130740.json,2018-01-21,ODI,"Zimbabwe, Sri Lanka","Shere Bangla National Stadium, Mirpur",Dhaka,Sri Lanka,male,50
