file_name,date,match_type,teams,venue,city,winner,gender,overs
66283.json,2002-06-27,ODI,"England, Sri Lanka","Trent Bridge, Nottingham",Nottingham,England,male,50
66284.json,2002-06-29,ODI,"England, India","Lord's, London",London,India,male,50
64814.json,2002-12-29,ODI,"New Zealand, India","McLean Park, Napier",Napier,New Zealand,male,50
64815.json,2003-01-01,ODI,"India, New Zealand","Jade Stadium, Christchurch",Christchurch,New Zealand,male,50
64816.json,2003-01-04,ODI,"India, New Zealand","Davies Park, Queenstown",Queenstown,New Zealand,male,50
64817.json,2003-01-08,ODI,"New Zealand, India","Westpac Stadium, Wellington",Wellington,India,male,50
65634.json,2003-01-09,ODI,"Sri Lanka, Australia",Sydney Cricket Ground,Sydney,Sri Lanka,male,50
65635.json,2003-01-11,ODI,"Australia, England","Bellerive Oval, Hobart",Hobart,Australia,male,50
65636.json,2003-01-13,ODI,"Sri Lanka, England",Sydney Cricket Ground,Sydney,Sri Lanka,male,50
64819.json,2003-01-14,ODI,"India, New Zealand","Westpac Park, Hamilton",Hamilton,New Zealand,male,50
65637.json,2003-01-15,ODI,"Sri Lanka, Australia","Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,Australia,male,50
65638.json,2003-01-17,ODI,"England, Sri Lanka",Adelaide Oval,Adelaide,England,male,50
65639.json,2003-01-19,ODI,"England, Australia",Adelaide Oval,Adelaide,Australia,male,50
65640.json,2003-01-21,ODI,"Sri Lanka, Australia",Melbourne Cricket Ground,Melbourne,Australia,male,50
65641.json,2003-01-23,ODI,"England, Australia",Sydney Cricket Ground,Sydney,Australia,male,50
65642.json,2003-01-25,ODI,"Australia, England",Melbourne Cricket Ground,Melbourne,Australia,male,50
65235.json,2003-02-09,ODI,"West Indies, South Africa","Newlands, Cape Town",Cape Town,West Indies,male,50
65237.json,2003-02-10,ODI,"Sri Lanka, New Zealand","Goodyear Park, Bloemfontein",Bloemfontein,Sri Lanka,male,50
65236.json,2003-02-10,ODI,"Zimbabwe, Namibia",Harare Sports Club,Harare,Zimbabwe,male,50
65238.json,2003-02-11,ODI,"Australia, Pakistan","New Wanderers Stadium, Johannesburg",Johannesburg,Australia,male,50
65239.json,2003-02-11,ODI,"Canada, Bangladesh","Kingsmead, Durban",Durban,Canada,male,50
65241.json,2003-02-12,ODI,"India, Netherlands","Boland Bank Park, Paarl",Paarl,India,male,50
65240.json,2003-02-12,ODI,"Kenya, South Africa","North West Cricket Stadium, Potchefstroom",Potchefstroom,South Africa,male,50
65242.json,2003-02-13,ODI,"New Zealand, West Indies","St George's Park, Port Elizabeth",Gqeberha,New Zealand,male,50
65245.json,2003-02-15,ODI,"Canada, Kenya","Newlands, Cape Town",Cape Town,Kenya,male,50
65244.json,2003-02-15,ODI,"India, Australia","SuperSport Park, Centurion",Centurion,Australia,male,50
65246.json,2003-02-16,ODI,"Netherlands, England","Buffalo Park, East London",East London,England,male,50
65248.json,2003-02-16,ODI,"South Africa, New Zealand","New Wanderers Stadium, Johannesburg",Johannesburg,New Zealand,male,50
65247.json,2003-02-16,ODI,"Pakistan, Namibia","De Beers Diamond Oval, Kimberley",Kimberley,Pakistan,male,50
65249.json,2003-02-18,ODI,"West Indies, Bangladesh","Willowmoore Park, Benoni",Benoni,No Result,male,50
65251.json,2003-02-19,ODI,"Canada, Sri Lanka","Boland Bank Park, Paarl",Paarl,Sri Lanka,male,50
65250.json,2003-02-19,ODI,"India, Zimbabwe",Harare Sports Club,Harare,India,male,50
65252.json,2003-02-19,ODI,"England, Namibia","St George's Park, Port Elizabeth",Gqeberha,England,male,50
65255.json,2003-02-22,ODI,"England, Pakistan","Newlands, Cape Town",Cape Town,England,male,50
65254.json,2003-02-22,ODI,"Bangladesh, South Africa","Goodyear Park, Bloemfontein",Bloemfontein,South Africa,male,50
65257.json,2003-02-23,ODI,"India, Namibia","City Oval, Pietermaritzburg",Pietermaritzburg,India,male,50
65256.json,2003-02-23,ODI,"Canada, West Indies","SuperSport Park, Centurion",Centurion,West Indies,male,50
65258.json,2003-02-24,ODI,"Kenya, Sri Lanka","Gymkhana Club Ground, Nairobi",Nairobi,Kenya,male,50
65259.json,2003-02-24,ODI,"Zimbabwe, Australia","Queens Sports Club, Bulawayo",Bulawayo,Australia,male,50
65260.json,2003-02-25,ODI,"Pakistan, Netherlands","Boland Bank Park, Paarl",Paarl,Pakistan,male,50
65261.json,2003-02-26,ODI,"Bangladesh, New Zealand","De Beers Diamond Oval, Kimberley",Kimberley,New Zealand,male,50
65262.json,2003-02-26,ODI,"India, England","Kingsmead, Durban",Durban,India,male,50
65263.json,2003-02-27,ODI,"Australia, Namibia","North West Cricket Stadium, Potchefstroom",Potchefstroom,Australia,male,50
65264.json,2003-02-27,ODI,"South Africa, Canada","Buffalo Park, East London",East London,South Africa,male,50
65266.json,2003-02-28,ODI,"Sri Lanka, West Indies","Newlands, Cape Town",Cape Town,Sri Lanka,male,50
65265.json,2003-02-28,ODI,"Zimbabwe, Netherlands","Queens Sports Club, Bulawayo",Bulawayo,Zimbabwe,male,50
65268.json,2003-03-01,ODI,"Pakistan, India","SuperSport Park, Centurion",Centurion,India,male,50
65267.json,2003-03-01,ODI,"Kenya, Bangladesh","New Wanderers Stadium, Johannesburg",Johannesburg,Kenya,male,50
65269.json,2003-03-02,ODI,"England, Australia","St George's Park, Port Elizabeth",Gqeberha,Australia,male,50
65271.json,2003-03-03,ODI,"Netherlands, Namibia","Goodyear Park, Bloemfontein",Bloemfontein,Netherlands,male,50
65270.json,2003-03-03,ODI,"Canada, New Zealand","Willowmoore Park, Benoni",Benoni,New Zealand,male,50
65272.json,2003-03-03,ODI,"Sri Lanka, South Africa","Kingsmead, Durban",Durban,No Result,male,50
65273.json,2003-03-04,ODI,"Pakistan, Zimbabwe","Queens Sports Club, Bulawayo",Bulawayo,No Result,male,50
65276.json,2003-03-07,ODI,"Kenya, India","Newlands, Cape Town",Cape Town,India,male,50
65275.json,2003-03-07,ODI,"Australia, Sri Lanka","SuperSport Park, Centurion",Centurion,Australia,male,50
65277.json,2003-03-08,ODI,"Zimbabwe, New Zealand","Goodyear Park, Bloemfontein",Bloemfontein,New Zealand,male,50
65278.json,2003-03-10,ODI,"India, Sri Lanka","New Wanderers Stadium, Johannesburg",Johannesburg,India,male,50
65279.json,2003-03-11,ODI,"Australia, New Zealand","St George's Park, Port Elizabeth",Gqeberha,Australia,male,50
65280.json,2003-03-12,ODI,"Zimbabwe, Kenya","Goodyear Park, Bloemfontein",Bloemfontein,Kenya,male,50
65281.json,2003-03-14,ODI,"New Zealand, India","SuperSport Park, Centurion",Centurion,India,male,50
65282.json,2003-03-15,ODI,"Sri Lanka, Zimbabwe","Buffalo Park, East London",East London,Sri Lanka,male,50
65283.json,2003-03-15,ODI,"Kenya, Australia","Kingsmead, Durban",Durban,Australia,male,50
65284.json,2003-03-18,ODI,"Australia, Sri Lanka","St George's Park, Port Elizabeth",Gqeberha,Australia,male,50
65285.json,2003-03-20,ODI,"India, Kenya","Kingsmead, Durban",Durban,India,male,50
65286.json,2003-03-23,ODI,"Australia, India","New Wanderers Stadium, Johannesburg",Johannesburg,Australia,male,50
65803.json,2003-04-03,ODI,"Pakistan, Zimbabwe",Sharjah Cricket Association Stadium,Sharjah,Pakistan,male,50
65804.json,2003-04-04,ODI,"Sri Lanka, Pakistan",Sharjah Cricket Association Stadium,Sharjah,Pakistan,male,50
65805.json,2003-04-05,ODI,"Kenya, Zimbabwe",Sharjah Cricket Association Stadium,Sharjah,Zimbabwe,male,50
65806.json,2003-04-06,ODI,"Sri Lanka, Kenya",Sharjah Cricket Association Stadium,Sharjah,Sri Lanka,male,50
65807.json,2003-04-07,ODI,"Sri Lanka, Zimbabwe",Sharjah Cricket Association Stadium,Sharjah,Zimbabwe,male,50
65808.json,2003-04-08,ODI,"Pakistan, Kenya",Sharjah Cricket Association Stadium,Sharjah,Pakistan,male,50
65809.json,2003-04-10,ODI,"Zimbabwe, Pakistan",Sharjah Cricket Association Stadium,Sharjah,Pakistan,male,50
66356.json,2003-04-21,ODI,"India, South Africa","Bangabandhu National Stadium, Dhaka",Dhaka,No Result,male,50
66357.json,2003-05-10,ODI,"Pakistan, Sri Lanka",Rangiri Dambulla International Stadium,Dambulla,Pakistan,male,50
66358.json,2003-05-11,ODI,"Pakistan, New Zealand",Rangiri Dambulla International Stadium,Dambulla,New Zealand,male,50
64820.json,2003-05-17,ODI,"Australia, West Indies","Sabina Park, Kingston, Jamaica",Kingston,Australia,male,50
66361.json,2003-05-19,ODI,"New Zealand, Sri Lanka",Rangiri Dambulla International Stadium,Dambulla,New Zealand,male,50
66363.json,2003-05-23,ODI,"Pakistan, New Zealand",Rangiri Dambulla International Stadium,Dambulla,New Zealand,male,50
64825.json,2003-05-30,ODI,"Australia, West Indies","Queen's Park (New), St George's, Grenada",St George's,West Indies,male,50
64826.json,2003-06-01,ODI,"Australia, West Indies","Queen's Park (New), St George's, Grenada",St George's,West Indies,male,50
64827.json,2003-06-07,ODI,"Sri Lanka, West Indies","Kensington Oval, Bridgetown, Barbados",Bridgetown,Sri Lanka,male,50
64829.json,2003-06-11,ODI,"Sri Lanka, West Indies","Arnos Vale Ground, Kingstown, St Vincent",Kingstown,West Indies,male,50
65029.json,2003-06-17,ODI,"England, Pakistan","Old Trafford, Manchester",Manchester,Pakistan,male,50
65030.json,2003-06-20,ODI,"Pakistan, England","Kennington Oval, London",London,England,male,50
65031.json,2003-06-22,ODI,"Pakistan, England","Lord's, London",London,England,male,50
66293.json,2003-06-26,ODI,"England, Zimbabwe","Trent Bridge, Nottingham",Nottingham,Zimbabwe,male,50
66294.json,2003-06-28,ODI,"South Africa, England","Kennington Oval, London",London,England,male,50
66295.json,2003-06-29,ODI,"South Africa, Zimbabwe","St Lawrence Ground, Canterbury",Canterbury,South Africa,male,50
66296.json,2003-07-01,ODI,"England, Zimbabwe","Headingley, Leeds",Leeds,No Result,male,50
66297.json,2003-07-03,ODI,"England, South Africa","Old Trafford, Manchester",Manchester,South Africa,male,50
66299.json,2003-07-06,ODI,"Zimbabwe, England","The Royal & Sun Alliance County Ground, Bristol",Bristol,England,male,50
66301.json,2003-07-10,ODI,"Zimbabwe, South Africa","The Rose Bowl, Southampton",Southampton,South Africa,male,50
66302.json,2003-07-12,ODI,"South Africa, England","Lord's, London",London,England,male,50
64830.json,2003-08-02,ODI,"Bangladesh, Australia","Bundaberg Rum Stadium, Cairns",Cairns,Australia,male,50
64831.json,2003-08-03,ODI,"Bangladesh, Australia","Bundaberg Rum Stadium, Cairns",Cairns,Australia,male,50
64832.json,2003-08-06,ODI,"Australia, Bangladesh","Marrara Cricket Ground, Darwin",Darwin,Australia,male,50
64833.json,2003-09-09,ODI,"Pakistan, Bangladesh",Multan Cricket Stadium,Multan,Pakistan,male,50
64836.json,2003-09-18,ODI,"Bangladesh, Pakistan",Rawalpindi Cricket Stadium,Rawalpindi,Pakistan,male,50
64837.json,2003-09-21,ODI,"Pakistan, Bangladesh","National Stadium, Karachi",Karachi,Pakistan,male,50
64838.json,2003-10-03,ODI,"Pakistan, South Africa","Gaddafi Stadium, Lahore",Lahore,Pakistan,male,50
64839.json,2003-10-05,ODI,"Pakistan, South Africa","Gaddafi Stadium, Lahore",Lahore,Pakistan,male,50
64840.json,2003-10-07,ODI,"Pakistan, South Africa","Iqbal Stadium, Faisalabad",Faisalabad,South Africa,male,50
64841.json,2003-10-10,ODI,"Pakistan, South Africa",Rawalpindi Cricket Stadium,Rawalpindi,South Africa,male,50
64842.json,2003-10-12,ODI,"Pakistan, South Africa",Rawalpindi Cricket Stadium,Rawalpindi,South Africa,male,50
66364.json,2003-10-23,ODI,"India, New Zealand","MA Chidambaram Stadium, Chepauk, Chennai",Chennai,No Result,male,50
66365.json,2003-10-26,ODI,"India, Australia","Captain Roop Singh Stadium, Gwalior",Gwalior,India,male,50
66366.json,2003-10-29,ODI,"New Zealand, Australia","Nahar Singh Stadium, Faridabad",Faridabad,Australia,male,50
66367.json,2003-11-01,ODI,"Australia, India","Wankhede Stadium, Mumbai",Mumbai,Australia,male,50
66368.json,2003-11-03,ODI,"New Zealand, Australia","Nehru Stadium, Poona",Pune,Australia,male,50
66369.json,2003-11-06,ODI,"India, New Zealand","Barabati Stadium, Cuttack",Cuttack,New Zealand,male,50
64843.json,2003-11-07,ODI,"Bangladesh, England","MA Aziz Stadium, Chittagong",Chattogram,England,male,50
64844.json,2003-11-10,ODI,"Bangladesh, England","Bangabandhu National Stadium, Dhaka",Dhaka,England,male,50
64845.json,2003-11-12,ODI,"Bangladesh, England","Bangabandhu National Stadium, Dhaka",Dhaka,England,male,50
66372.json,2003-11-15,ODI,"India, New Zealand","Lal Bahadur Shastri Stadium, Hyderabad, Deccan",Hyderabad,India,male,50
64846.json,2003-11-18,ODI,"England, Sri Lanka",Rangiri Dambulla International Stadium,Dambulla,Sri Lanka,male,50
64848.json,2003-11-23,ODI,"West Indies, Zimbabwe","Queens Sports Club, Bulawayo",Bulawayo,Zimbabwe,male,50
64849.json,2003-11-26,ODI,"Zimbabwe, West Indies",Harare Sports Club,Harare,Zimbabwe,male,50
64850.json,2003-11-29,ODI,"New Zealand, Pakistan","Gaddafi Stadium, Lahore",Lahore,Pakistan,male,50
64851.json,2003-11-29,ODI,"West Indies, Zimbabwe",Harare Sports Club,Harare,West Indies,male,50
64852.json,2003-11-30,ODI,"Zimbabwe, West Indies",Harare Sports Club,Harare,West Indies,male,50
64853.json,2003-12-01,ODI,"Pakistan, New Zealand","Gaddafi Stadium, Lahore",Lahore,Pakistan,male,50
64855.json,2003-12-05,ODI,"New Zealand, Pakistan",Rawalpindi Cricket Stadium,Rawalpindi,Pakistan,male,50
64857.json,2004-01-03,ODI,"Pakistan, New Zealand",Eden Park,Auckland,New Zealand,male,50
65643.json,2004-01-09,ODI,"Australia, India",Melbourne Cricket Ground,Melbourne,Australia,male,50
65644.json,2004-01-11,ODI,"Australia, Zimbabwe",Sydney Cricket Ground,Sydney,Australia,male,50
65645.json,2004-01-14,ODI,"Zimbabwe, India",Bellerive Oval,Hobart,India,male,50
65646.json,2004-01-16,ODI,"Australia, Zimbabwe",Bellerive Oval,Hobart,Australia,male,50
65647.json,2004-01-18,ODI,"India, Australia",Brisbane Cricket Ground,Brisbane,India,male,50
65648.json,2004-01-20,ODI,"India, Zimbabwe",Brisbane Cricket Ground,Brisbane,India,male,50
65649.json,2004-01-22,ODI,"India, Australia",Sydney Cricket Ground,Sydney,Australia,male,50
64862.json,2004-01-25,ODI,"South Africa, West Indies",Newlands,Cape Town,South Africa,male,50
65652.json,2004-01-29,ODI,"Australia, Zimbabwe",Melbourne Cricket Ground,Melbourne,No Result,male,50
64864.json,2004-01-30,ODI,"West Indies, South Africa",Kingsmead,Durban,No Result,male,50
64865.json,2004-02-01,ODI,"South Africa, West Indies",SuperSport Park,Centurion,West Indies,male,50
65653.json,2004-02-01,ODI,"India, Australia",W.A.C.A. Ground,Perth,Australia,male,50
65655.json,2004-02-06,ODI,"India, Australia",Melbourne Cricket Ground,Melbourne,Australia,male,50
65656.json,2004-02-08,ODI,"Australia, India",Sydney Cricket Ground,Sydney,Australia,male,50
64870.json,2004-02-20,ODI,"Australia, Sri Lanka",Rangiri Dambulla International Stadium,Dambulla,Australia,male,50
64871.json,2004-02-22,ODI,"Sri Lanka, Australia",Rangiri Dambulla International Stadium,Dambulla,Sri Lanka,male,50
64872.json,2004-02-25,ODI,"South Africa, New Zealand",Carisbrook,Dunedin,New Zealand,male,50
64874.json,2004-02-27,ODI,"Australia, Sri Lanka",R.Premadasa Stadium,Colombo,Australia,male,50
64881.json,2004-03-14,ODI,"Bangladesh, Zimbabwe",Harare Sports Club,Harare,Zimbabwe,male,50
64882.json,2004-03-16,ODI,"Pakistan, India",Rawalpindi Cricket Stadium,Rawalpindi,Pakistan,male,50
64883.json,2004-03-19,ODI,"India, Pakistan",Arbab Niaz Stadium,Peshawar,Pakistan,male,50
64884.json,2004-03-21,ODI,"Pakistan, India",Gaddafi Stadium,Lahore,India,male,50
64885.json,2004-03-24,ODI,"India, Pakistan",Gaddafi Stadium,Lahore,India,male,50
64887.json,2004-04-20,ODI,"Zimbabwe, Sri Lanka",Queens Sports Club,Bulawayo,Sri Lanka,male,50
64889.json,2004-04-24,ODI,"West Indies, England",Queen's Park Oval,Port of Spain,No Result,male,50
64891.json,2004-04-27,ODI,"Sri Lanka, Zimbabwe",Harare Sports Club,Harare,Sri Lanka,male,50
64894.json,2004-05-02,ODI,"England, West Indies",Daren Sammy National Cricket Stadium,Gros Islet,West Indies,male,50
64896.json,2004-05-15,ODI,"Bangladesh, West Indies",Arnos Vale Ground,Kingstown,West Indies,male,50
64897.json,2004-05-16,ODI,"West Indies, Bangladesh",Arnos Vale Ground,Kingstown,West Indies,male,50
64898.json,2004-05-19,ODI,"Bangladesh, West Indies",National Cricket Stadium,St George's,West Indies,male,50
64899.json,2004-05-25,ODI,"Zimbabwe, Australia",Harare Sports Club,Harare,Australia,male,50
64900.json,2004-05-27,ODI,"Australia, Zimbabwe",Harare Sports Club,Harare,Australia,male,50
64901.json,2004-05-29,ODI,"Zimbabwe, Australia",Harare Sports Club,Harare,Australia,male,50
66304.json,2004-06-27,ODI,"England, West Indies",Trent Bridge,Nottingham,West Indies,male,50
66305.json,2004-06-29,ODI,"England, New Zealand",Riverside Ground,Chester-le-Street,New Zealand,male,50
66306.json,2004-07-01,ODI,"West Indies, England",Headingley,Leeds,England,male,50
66309.json,2004-07-06,ODI,"England, West Indies",Lord's,London,West Indies,male,50
66311.json,2004-07-10,ODI,"New Zealand, West Indies",Lord's,London,New Zealand,male,50
65708.json,2004-07-17,ODI,"Pakistan, Bangladesh",Sinhalese Sports Club,Colombo,Pakistan,male,50
65713.json,2004-07-21,ODI,"Pakistan, Sri Lanka",R.Premadasa Stadium,Colombo,Sri Lanka,male,50
65714.json,2004-07-23,ODI,"Bangladesh, Sri Lanka",R.Premadasa Stadium,Colombo,Sri Lanka,male,50
65716.json,2004-07-27,ODI,"India, Sri Lanka",R.Premadasa Stadium,Colombo,India,male,50
65718.json,2004-08-01,ODI,"Sri Lanka, India",R.Premadasa Stadium,Colombo,Sri Lanka,male,50
66374.json,2004-08-21,ODI,"Pakistan, India",VRA Cricket Ground,Amstelveen,Pakistan,male,50
66375.json,2004-08-23,ODI,"Australia, India",VRA Cricket Ground,Amstelveen,No Result,male,50
64905.json,2004-08-28,ODI,"South Africa, Sri Lanka",Rangiri Dambulla International Stadium,Dambulla,Sri Lanka,male,50
64906.json,2004-08-31,ODI,"Sri Lanka, South Africa",Sinhalese Sports Club,Colombo,Sri Lanka,male,50
65032.json,2004-09-01,ODI,"India, England",Trent Bridge,Nottingham,England,male,50
65033.json,2004-09-03,ODI,"England, India",Kennington Oval,London,England,male,50
66377.json,2004-09-04,ODI,"Australia, Pakistan",Lord's,London,Australia,male,50
65034.json,2004-09-05,ODI,"India, England",Lord's,London,India,male,50
66196.json,2004-09-10,ODI,"England, Zimbabwe",Edgbaston,Birmingham,England,male,50
66197.json,2004-09-10,ODI,"New Zealand, United States of America",Kennington Oval,London,New Zealand,male,50
66198.json,2004-09-11,ODI,"India, Kenya",The Rose Bowl,Southampton,India,male,50
66200.json,2004-09-13,ODI,"United States of America, Australia",The Rose Bowl,Southampton,Australia,male,50
66201.json,2004-09-14,ODI,"Zimbabwe, Sri Lanka",Kennington Oval,London,Sri Lanka,male,50
66202.json,2004-09-14,ODI,"Kenya, Pakistan",Edgbaston,Birmingham,Pakistan,male,50
66203.json,2004-09-15,ODI,"West Indies, Bangladesh",The Rose Bowl,Southampton,West Indies,male,50
66204.json,2004-09-16,ODI,"New Zealand, Australia",Kennington Oval,London,Australia,male,50
66205.json,2004-09-17,ODI,"England, Sri Lanka",The Rose Bowl,Southampton,England,male,50
66206.json,2004-09-18,ODI,"South Africa, West Indies",Kennington Oval,London,West Indies,male,50
66207.json,2004-09-19,ODI,"India, Pakistan",Edgbaston,Birmingham,Pakistan,male,50
66208.json,2004-09-21,ODI,"Australia, England",Edgbaston,Birmingham,England,male,50
66209.json,2004-09-22,ODI,"Pakistan, West Indies",The Rose Bowl,Southampton,West Indies,male,50
66210.json,2004-09-25,ODI,"England, West Indies",Kennington Oval,London,West Indies,male,50
66378.json,2004-09-30,ODI,"Pakistan, Zimbabwe",Multan Cricket Stadium,Multan,Pakistan,male,50
66379.json,2004-10-03,ODI,"Zimbabwe, Pakistan",Arbab Niaz Stadium,Peshawar,Pakistan,male,50
66380.json,2004-10-06,ODI,"Sri Lanka, Pakistan",National Stadium,Karachi,Pakistan,male,50
66381.json,2004-10-09,ODI,"Zimbabwe, Sri Lanka",Rawalpindi Cricket Stadium,Rawalpindi,Sri Lanka,male,50
66383.json,2004-10-16,ODI,"Sri Lanka, Pakistan",Gaddafi Stadium,Lahore,Sri Lanka,male,50
64907.json,2004-11-02,ODI,"New Zealand, Bangladesh",MA Aziz Stadium,Chattogram,New Zealand,male,50
64910.json,2004-11-28,ODI,"Zimbabwe, England",Harare Sports Club,Harare,England,male,50
64911.json,2004-12-01,ODI,"England, Zimbabwe",Harare Sports Club,Harare,England,male,50
64913.json,2004-12-05,ODI,"England, Zimbabwe",Queens Sports Club,Bulawayo,England,male,50
66385.json,2004-12-05,ODI,"Australia, New Zealand",Docklands Stadium,Melbourne,New Zealand,male,50
66386.json,2004-12-08,ODI,"Australia, New Zealand",Sydney Cricket Ground,Sydney,Australia,male,50
64914.json,2004-12-23,ODI,"India, Bangladesh",MA Aziz Stadium,Chattogram,India,male,50
64917.json,2004-12-27,ODI,"India, Bangladesh",Bangabandhu National Stadium,Dhaka,India,male,50
65659.json,2005-01-19,ODI,"West Indies, Pakistan","Brisbane Cricket Ground, Woolloongabba",Brisbane,Pakistan,male,50
65660.json,2005-01-21,ODI,"West Indies, Australia","Brisbane Cricket Ground, Woolloongabba",Brisbane,No Result,male,50
65661.json,2005-01-23,ODI,"Pakistan, Australia",Sydney Cricket Ground,Sydney,Australia,male,50
64919.json,2005-01-24,ODI,"Zimbabwe, Bangladesh",MA Aziz Stadium,Chattogram,Zimbabwe,male,50
65662.json,2005-01-26,ODI,"Australia, West Indies",Adelaide Oval,Unknown,Australia,male,50
64922.json,2005-01-30,ODI,"South Africa, England",The Wanderers Stadium,Johannesburg,England,male,50
65664.json,2005-01-30,ODI,"Australia, Pakistan",W.A.C.A. Ground,Perth,Pakistan,male,50
64923.json,2005-01-31,ODI,"Zimbabwe, Bangladesh",Bangabandhu National Stadium,Dhaka,Bangladesh,male,50
65665.json,2005-02-01,ODI,"Pakistan, West Indies",W.A.C.A. Ground,Perth,Pakistan,male,50
64924.json,2005-02-02,ODI,"England, South Africa",Mangaung Oval,Bloemfontein,No Result,male,50
64925.json,2005-02-04,ODI,"England, South Africa",St George's Park,Port Elizabeth,South Africa,male,50
65666.json,2005-02-04,ODI,"Australia, Pakistan",Melbourne Cricket Ground,Unknown,Australia,male,50
64926.json,2005-02-06,ODI,"South Africa, England",Newlands,Cape Town,South Africa,male,50
64927.json,2005-02-09,ODI,"South Africa, England",Buffalo Park,East London,South Africa,male,50
64928.json,2005-02-11,ODI,"South Africa, England",Kingsmead,Durban,No Result,male,50
64929.json,2005-02-13,ODI,"England, South Africa",SuperSport Park,Centurion,South Africa,male,50
64932.json,2005-02-25,ODI,"South Africa, Zimbabwe",The Wanderers Stadium,Johannesburg,South Africa,male,50
64933.json,2005-02-26,ODI,"Australia, New Zealand",Eden Park,Auckland,Australia,male,50
64934.json,2005-02-27,ODI,"South Africa, Zimbabwe",Kingsmead,Durban,South Africa,male,50
64935.json,2005-03-01,ODI,"New Zealand, Australia",Basin Reserve,Wellington,Australia,male,50
64936.json,2005-03-02,ODI,"Zimbabwe, South Africa",St George's Park,Port Elizabeth,South Africa,male,50
64939.json,2005-04-05,ODI,"India, Pakistan",Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,male,50
64941.json,2005-04-12,ODI,"India, Pakistan","Sardar Patel (Gujarat) Stadium, Motera",Ahmedabad,Pakistan,male,50
64942.json,2005-04-15,ODI,"India, Pakistan",Green Park,Kanpur,Pakistan,male,50
64943.json,2005-04-17,ODI,"Pakistan, India",Arun Jaitley Stadium,Delhi,Pakistan,male,50
208835.json,2005-05-08,ODI,"West Indies, South Africa","Sabina Park, Kingston",Jamaica,South Africa,male,50
209339.json,2005-05-15,ODI,"West Indies, South Africa","Queen's Park Oval, Port of Spain",Trinidad,South Africa,male,50
209582.json,2005-05-18,ODI,"Pakistan, West Indies","Arnos Vale Ground, Kingstown",St Vincent,Pakistan,male,50
209768.json,2005-05-22,ODI,"Pakistan, West Indies","Daren Sammy National Cricket Stadium, Gros Islet",St Lucia,Pakistan,male,50
211244.json,2005-06-16,ODI,"Bangladesh, England",Kennington Oval,London,England,male,50
211364.json,2005-06-18,ODI,"Australia, Bangladesh",Sophia Gardens,Cardiff,Bangladesh,male,50
211678.json,2005-06-23,ODI,"Australia, England",Riverside Ground,Chester-le-Street,Australia,male,50
211824.json,2005-06-25,ODI,"Bangladesh, Australia",Old Trafford,Manchester,Australia,male,50
211860.json,2005-06-26,ODI,"Bangladesh, England",Headingley,Leeds,England,male,50
212020.json,2005-06-28,ODI,"Australia, England",Edgbaston,Birmingham,No Result,male,50
212253.json,2005-06-30,ODI,"Bangladesh, Australia",St Lawrence Ground,Canterbury,Australia,male,50
212452.json,2005-07-02,ODI,"Australia, England",Lord's,London,No Result,male,50
213288.json,2005-07-12,ODI,"England, Australia",Kennington Oval,London,Australia,male,50
214742.json,2005-07-31,ODI,"West Indies, India",Rangiri Dambulla International Stadium,Unknown,India,male,50
214852.json,2005-08-02,ODI,"Sri Lanka, West Indies",Rangiri Dambulla International Stadium,Unknown,Sri Lanka,male,50
215134.json,2005-08-06,ODI,"West Indies, Sri Lanka","R.Premadasa Stadium, Khettarama",Colombo,West Indies,male,50
216271.json,2005-08-17,ODI,"Africa XI, Asia XI",SuperSport Park,Centurion,Africa XI,male,50
216669.json,2005-08-21,ODI,"Africa XI, Asia XI",Kingsmead,Durban,No Result,male,50
217481.json,2005-08-29,ODI,"India, Zimbabwe",Harare Sports Club,Unknown,India,male,50
217647.json,2005-08-31,ODI,"Sri Lanka, Bangladesh",Sinhalese Sports Club Ground,Colombo,Sri Lanka,male,50
217648.json,2005-08-31,ODI,"New Zealand, Zimbabwe",Harare Sports Club,Unknown,New Zealand,male,50
217979.json,2005-09-04,ODI,"Zimbabwe, India",Harare Sports Club,Unknown,India,male,50
218250.json,2005-09-06,ODI,"India, New Zealand",Harare Sports Club,Unknown,New Zealand,male,50
221083.json,2005-10-07,ODI,"Australia, ICC World XI",Docklands Stadium,Melbourne,Australia,male,50
221337.json,2005-10-09,ODI,"Australia, ICC World XI",Docklands Stadium,Melbourne,Australia,male,50
223018.json,2005-10-25,ODI,"India, Sri Lanka",Vidarbha C.A. Ground,Nagpur,India,male,50
223335.json,2005-10-28,ODI,"South Africa, New Zealand",Newlands,Cape Town,South Africa,male,50
223334.json,2005-10-28,ODI,"Sri Lanka, India","Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,India,male,50
223542.json,2005-10-30,ODI,"New Zealand, South Africa",St George's Park,Port Elizabeth,South Africa,male,50
223902.json,2005-11-03,ODI,"Sri Lanka, India",Nehru Stadium,Pune,India,male,50
224044.json,2005-11-04,ODI,"South Africa, New Zealand",Kingsmead,Durban,No Result,male,50
224231.json,2005-11-06,ODI,"India, Sri Lanka","Sardar Patel (Gujarat) Stadium, Motera",Ahmedabad,Sri Lanka,male,50
224227.json,2005-11-06,ODI,"New Zealand, South Africa",SuperSport Park,Centurion,South Africa,male,50
